project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-COAD	01240896-3f3f-4bf9-9799-55c87bfacf36	TCGA-F4-6854	7c12327f-05c5-4721-8031-93a318835580	TCGA-F4-6854-01A	0079832c-9cfd-4758-aa36-ef11816157b1	TCGA-F4-6854-01A-11	12b354e7-594c-49ab-8519-54606bd9250a	TCGA-F4-6854-01A-11R	1.7	'--	'--	RNA	R	'--	0.15	Allprep RNA Extraction	Yes	1.54	9.3	UV Spec	released	'--
TCGA-COAD	01240896-3f3f-4bf9-9799-55c87bfacf36	TCGA-F4-6854	7c12327f-05c5-4721-8031-93a318835580	TCGA-F4-6854-01A	0079832c-9cfd-4758-aa36-ef11816157b1	TCGA-F4-6854-01A-11	c5863e3d-9732-4194-b19d-c796688be2d9	TCGA-F4-6854-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-COAD	01240896-3f3f-4bf9-9799-55c87bfacf36	TCGA-F4-6854	7c12327f-05c5-4721-8031-93a318835580	TCGA-F4-6854-01A	0079832c-9cfd-4758-aa36-ef11816157b1	TCGA-F4-6854-01A-11	d274e173-2fcc-40ac-8af4-7fb0459387e6	TCGA-F4-6854-01A-11D	1.9	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-COAD	01240896-3f3f-4bf9-9799-55c87bfacf36	TCGA-F4-6854	7c12327f-05c5-4721-8031-93a318835580	TCGA-F4-6854-01A	0079832c-9cfd-4758-aa36-ef11816157b1	TCGA-F4-6854-01A-11	f1198a61-39ab-4e9a-86b9-0697f0434b9e	TCGA-F4-6854-01A-11H	1.8	'--	'--	RNA	H	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.68	9.5	UV Spec	released	'--
TCGA-COAD	01240896-3f3f-4bf9-9799-55c87bfacf36	TCGA-F4-6854	a066f082-58be-478d-abce-5f971652fcae	TCGA-F4-6854-10A	b6a2c8bc-d89a-44f5-97c8-5a5cb7beae45	TCGA-F4-6854-10A-01	bdddcb82-3930-4948-9da4-e0d2ae74a1a4	TCGA-F4-6854-10A-01D	1.8	'--	'--	DNA	D	'--	0.15	Chemical Lysis DNA Extraction	Yes	'--	'--	UV Spec	released	'--
TCGA-COAD	01240896-3f3f-4bf9-9799-55c87bfacf36	TCGA-F4-6854	a066f082-58be-478d-abce-5f971652fcae	TCGA-F4-6854-10A	b6a2c8bc-d89a-44f5-97c8-5a5cb7beae45	TCGA-F4-6854-10A-01	d5d49325-b69d-4c0f-83f8-3dee28d0a2e7	TCGA-F4-6854-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-COAD	01ad5016-f691-4bca-82a0-910429d8d25b	TCGA-AA-3561	5e797e09-26d0-42f4-838f-3b05e489e6ec	TCGA-AA-3561-01A	63132f91-388e-4a72-9e6c-b88cdbdfcb47	TCGA-AA-3561-01A-01	1dc833b1-233e-4c7b-a01d-7d7fc5385321	TCGA-AA-3561-01A-01R	1.8	'--	'--	RNA	R	'--	0.17	Allprep RNA Extraction	Yes	1.1	9.1	UV Spec	released	'--
TCGA-COAD	01ad5016-f691-4bca-82a0-910429d8d25b	TCGA-AA-3561	5e797e09-26d0-42f4-838f-3b05e489e6ec	TCGA-AA-3561-01A	63132f91-388e-4a72-9e6c-b88cdbdfcb47	TCGA-AA-3561-01A-01	5e2b6f7e-45ac-4eec-88c4-212ff53b33f2	TCGA-AA-3561-01A-01T	'--	'--	'--	Total RNA	T	'--	0.1	Total RNA	Yes	'--	'--	UV Spec	released	'--
TCGA-COAD	01ad5016-f691-4bca-82a0-910429d8d25b	TCGA-AA-3561	5e797e09-26d0-42f4-838f-3b05e489e6ec	TCGA-AA-3561-01A	63132f91-388e-4a72-9e6c-b88cdbdfcb47	TCGA-AA-3561-01A-01	69667f13-2a60-4fbe-a107-79224620a56d	TCGA-AA-3561-01A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	UV Spec	released	'--
TCGA-COAD	01ad5016-f691-4bca-82a0-910429d8d25b	TCGA-AA-3561	5e797e09-26d0-42f4-838f-3b05e489e6ec	TCGA-AA-3561-01A	63132f91-388e-4a72-9e6c-b88cdbdfcb47	TCGA-AA-3561-01A-01	954102b5-f904-4594-94b6-5e68ec730a15	TCGA-AA-3561-01A-01D	1.9	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
